,index,v_level,gamma_level,s_level,tau_level,v_gen,v_gen_actual,gamma_gen,gamma_gen_actual,s_gen,s_gen_actual,tau_gen,tau_gen_actual,v_rec,v_rec_hpd_lower,v_rec_hpd_upper,gamma_rec,gamma_rec_hpd_lower,gamma_rec_hpd_upper,s_rec,s_rec_hpd_lower,s_rec_hpd_upper,tau_rec,tau_rec_hpd_lower,tau_rec_hpd_upper,converged
30,30,medium,low,medium,low,8.499999999999999e-05,8.512534917355205e-05,-0.7,-0.6667938674647692,0.0095,0.009203748809617213,0.215,0.1449670940218394,8.758360084477799e-05,8.210198679775258e-05,9.346669312749994e-05,-0.5920907637117833,-0.7637487220881933,-0.4326265229233997,0.009053387302524956,0.008433652908948465,0.009619450703829665,0.12500051343213467,0.015110933172944947,0.2249974109925979,True
31,31,medium,low,medium,medium,8.499999999999999e-05,8.198691164221789e-05,-0.7,-0.7046663721545108,0.0095,0.009481292825232971,0.675,0.6447819313150881,9.263647141715131e-05,8.624483037306455e-05,9.936145622212337e-05,-0.6834894654872797,-0.8023030201541044,-0.5641386091774496,0.009585169781298794,0.009119724943784423,0.010067433574505829,0.6273564485511479,0.5154825572988307,0.7534552411196245,True
32,32,medium,low,medium,high,8.499999999999999e-05,9.028497830201976e-05,-0.7,-0.7390160158471296,0.0095,0.00956026771605201,1.135,1.098485477508861,0.00010122110215214808,9.5017328635024e-05,0.00010792343449570351,-0.6350903492280692,-0.7050636276693094,-0.5720455743919679,0.009489553438181959,0.008886234998252222,0.010167107536110465,0.9919215259922014,0.8387087132433186,1.1648874480502132,True
33,33,medium,low,high,low,8.499999999999999e-05,8.214808636738327e-05,-0.7,-0.7091361885139726,0.0123,0.012094729415431998,0.215,0.2326371074421031,8.816285212297673e-05,8.043679888683162e-05,9.573913268034684e-05,-0.8027878506265098,-0.9661978697746284,-0.6384237787946603,0.012089097321385606,0.011382311135666416,0.012835039920330426,0.2325109747555981,0.09793479861561068,0.3691408180212584,True
34,34,medium,low,high,medium,8.499999999999999e-05,8.297961034333278e-05,-0.7,-0.7072732980778901,0.0123,0.012369465634413329,0.675,0.7638055000860773,8.812928630933321e-05,8.040358574262596e-05,9.629993447227432e-05,-0.6224722277717446,-0.6974124433605109,-0.5446614075951022,0.012702074526559623,0.012072347651080164,0.013321697509018857,0.8276235307340277,0.6408593401995215,1.0245392283806376,True
35,35,medium,low,high,high,8.499999999999999e-05,8.350615926096604e-05,-0.7,-0.7204001312080556,0.0123,0.0123230224225353,1.135,1.1695135388253035,9.58556327225351e-05,8.781489738163997e-05,0.00010387252375120328,-0.6495419350969421,-0.7269607735110597,-0.5664292971523839,0.0122948912498849,0.0117386508968452,0.012878030807170643,1.0954232923132816,0.8734010621901217,1.3391466273762016,True
36,36,medium,medium,low,low,8.499999999999999e-05,8.263251005881664e-05,0.0,0.030816751701048983,0.0067,0.00635982823501899,0.215,0.2475690767739525,8.591232473843986e-05,8.059525935056279e-05,9.122625159278164e-05,0.08012761630773653,-0.035533795544596465,0.19547426895593567,0.00584073435593153,0.00506995197804041,0.006498696891369035,0.21076237927034167,0.12215161094332648,0.3006635928309909,True
37,37,medium,medium,low,medium,8.499999999999999e-05,8.915250102788424e-05,0.0,0.01652164873446296,0.0067,0.006591486655124238,0.675,0.6431079252365783,8.978988124347682e-05,8.586031532448604e-05,9.37947013951074e-05,0.03759140636083598,-0.08980810812984252,0.16786058489544864,0.006463505472310426,0.005796439339183735,0.007111858422008453,0.6351560905275002,0.5142327141840288,0.7559871692587273,True
38,38,medium,medium,low,high,8.499999999999999e-05,8.873892236234104e-05,0.0,-0.04654425489062524,0.0067,0.006806838647953695,1.135,1.211069947651324,8.896684885687585e-05,8.38382731097393e-05,9.372881768445112e-05,-0.05727170863627226,-0.20399720259520396,0.05886233241162131,0.006630096572973056,0.0060722266419949685,0.007183349539884337,1.2704502095991683,1.0251937684439671,1.5398921569151724,True
39,39,medium,medium,medium,low,8.499999999999999e-05,8.683424441888368e-05,0.0,-0.027578242212860597,0.0095,0.009473337048909824,0.215,0.27627098907676817,8.778996491117087e-05,8.182789689498478e-05,9.364107889305163e-05,-0.0533206218089229,-0.14681983895667727,0.049031207638256184,0.009438706292777876,0.008833908750315759,0.010015223320379595,0.2692513666111553,0.10360895399103133,0.4149219459639064,True
40,40,medium,medium,medium,medium,8.499999999999999e-05,8.548112013340721e-05,0.0,0.022000875039456688,0.0095,0.009465838864724943,0.675,0.6663347136114188,8.679299605251955e-05,8.245952125515338e-05,9.138420663728208e-05,0.01738665524657773,-0.08574702529493017,0.12954556320019073,0.009509876171084805,0.00892407681345281,0.010157926864979341,0.6872099943113127,0.5337892270082827,0.8387534262286236,True
41,41,medium,medium,medium,high,8.499999999999999e-05,8.398312173249667e-05,0.0,-0.02894891537765965,0.0095,0.009052646032656618,1.135,1.1250132810219309,8.571994048450528e-05,8.076727349530085e-05,9.07625784949184e-05,-0.04828971577921784,-0.14429267591004447,0.050289663449929016,0.008901751634696453,0.008332891630694122,0.009466355100528864,1.0880241142095828,0.8908578025303316,1.3157349510559988,True
42,42,medium,medium,high,low,8.499999999999999e-05,8.328701438558173e-05,0.0,-0.005338074475118218,0.0123,0.012034024884605952,0.215,0.2348192447057158,8.974806319926324e-05,8.286017527597867e-05,9.658391812619922e-05,-0.1261427332808532,-0.35265853633332256,0.07234534124539492,0.011842833809937666,0.011206781978422734,0.012467427570163458,0.20884988861886444,0.058073372794982224,0.34710019302145656,True
43,43,medium,medium,high,medium,8.499999999999999e-05,8.476978287262998e-05,0.0,0.014251317336475947,0.0123,0.012561315094411057,0.675,0.6632104342260752,8.655995272349784e-05,8.068969616545334e-05,9.3140516331698e-05,0.03573471643167499,-0.09794574169812087,0.16525411164186646,0.012456525291589159,0.011700782753931249,0.013241363139113971,0.6252477394000107,0.4920901077983473,0.7551013945994846,True
44,44,medium,medium,high,high,8.499999999999999e-05,8.38600501768112e-05,0.0,0.042300514056977566,0.0123,0.012068735807354177,1.135,1.1116078461591654,8.372156011254884e-05,7.902257076588992e-05,8.908140952578974e-05,0.06188311359299304,-0.05266761366081951,0.17232222009796416,0.012158252032254629,0.011502439568631851,0.012817381478435334,1.108951183891788,0.8701111758067328,1.3668976687517702,True
