,index,v_level,gamma_level,s_level,tau_level,v_gen,gamma_gen,s_gen,tau_gen,v_rec,v_rec_hpd_lower,v_rec_hpd_upper,gamma_rec,gamma_rec_hpd_lower,gamma_rec_hpd_upper,s_rec,s_rec_hpd_lower,s_rec_hpd_upper,tau_rec,tau_rec_hpd_lower,tau_rec_hpd_upper,converged
34,34,medium,low,high,medium,8.249999999999999e-05,-0.8,0.0103,0.6749999999999999,9.22859214668432e-05,6.753368437362086e-05,0.00012019164385176807,-0.7405148244410538,-0.7961174360638872,-0.6813976989606059,0.009722686041146776,0.00938100033336799,0.010084573398331591,0.5803525911552093,0.5029764019369559,0.6623058002249693,
35,35,medium,low,high,high,8.249999999999999e-05,-0.8,0.0103,1.135,8.617417053894109e-05,6.747625761374329e-05,0.00010514544323468448,-0.5627488625256207,-0.6442876049685811,-0.4803812172206974,0.010378091027142395,0.009901474103691028,0.010888056595092704,1.3279936329274555,1.165178926713169,1.4845851752978727,
36,36,medium,medium,low,low,8.249999999999999e-05,5.551115123125783e-17,0.0047,0.215,9.844797550643342e-05,7.674755818691187e-05,0.00012046116519581289,-0.012626348652196171,-0.1585429581728729,0.1076613636118251,0.002776642735867741,0.002261781740178125,0.0032989022177551605,0.11023591328990946,0.06978556851807954,0.15370842690003392,
37,37,medium,medium,low,medium,8.249999999999999e-05,5.551115123125783e-17,0.0047,0.6749999999999999,8.659788967750567e-05,6.24322920239925e-05,0.00010963768140123056,-0.02154381100715438,-0.1939526577749241,0.12870464936688975,0.002801994768510821,0.0021660206104019827,0.0035063601314013104,0.4083903683673169,0.3359131226763559,0.4753883197787422,
38,38,medium,medium,low,high,8.249999999999999e-05,5.551115123125783e-17,0.0047,1.135,8.826454706282024e-05,6.997412358061623e-05,0.00010787409156249156,0.1319777618583448,-0.010084818157573006,0.2612339046298906,0.0032685969506016407,0.0025989797004438825,0.003997952141475156,0.860236099611471,0.7356515512981231,0.9945390539718748,
39,39,medium,medium,medium,low,8.249999999999999e-05,5.551115123125783e-17,0.0075,0.215,9.527829418897043e-05,7.193478272612019e-05,0.0001176435266164398,-0.02425182600526073,-0.15348301426880662,0.11963474776399252,0.006438948072850877,0.005200934814371003,0.00761936875238434,0.14058439053481908,0.10305474675312397,0.18357710791685686,
40,40,medium,medium,medium,medium,8.249999999999999e-05,5.551115123125783e-17,0.0075,0.6749999999999999,8.903822246986323e-05,6.470533457024897e-05,0.00011757064798074746,-0.034541544716692074,-0.20502386461774413,0.14600853672175296,0.005619878900353727,0.004539790200088475,0.006786832982917492,0.4925250788252392,0.3811623880485845,0.6179747008294569,
41,41,medium,medium,medium,high,8.249999999999999e-05,5.551115123125783e-17,0.0075,1.135,8.294518946789054e-05,6.623907420143134e-05,0.00010129786806254577,0.13003191249416332,-0.017023997873302662,0.26510450382824424,0.007247455130963942,0.0060431486545681435,0.008320996251785357,1.1605094943605037,1.0583210590822827,1.254231784982174,
42,42,medium,medium,high,low,8.249999999999999e-05,5.551115123125783e-17,0.0103,0.215,8.999280283969654e-05,6.910501170856185e-05,0.00010990086688473343,0.015304970761498088,-0.12964476393022514,0.17381827220340695,0.010118133865895856,0.009746588913078526,0.01050603611134184,0.18197503597099254,0.13257644771039084,0.23556949038563646,
43,43,medium,medium,high,medium,8.249999999999999e-05,5.551115123125783e-17,0.0103,0.6749999999999999,8.097841736239876e-05,6.061063377815968e-05,0.00010307057744685952,-0.0163680501787615,-0.1811237505561144,0.15773277107174266,0.00974794833382472,0.009436516355480809,0.010061599350453709,0.5839052803312546,0.4889118892301491,0.6918987261684755,
